BH1_Mass,BH2_Mass,Distance_Mpc,r_observer,GTR_Peak,HyperTwist_Peak,SNR_Diff
10,10,400,0.5,2.386e-21,3.119e-21,1.500433
10,10,400,1,2.386e-21,2.387e-21,1.571859
10,10,400,2,2.386e-21,2.387e-21,0.577045
10,10,400,5,2.386e-21,2.386e-21,0.003722
10,10,400,10,2.386e-21,2.386e-21,0.000049
30,30,1000,0.5,2.867e-21,3.708e-21,1.448575
30,30,1000,1,2.867e-21,2.866e-21,1.386291
30,30,1000,2,2.867e-21,2.865e-21,0.197677
30,30,1000,5,2.867e-21,2.867e-21,0.001231
30,30,1000,10,2.867e-21,2.867e-21,0.000016
5,1.4,200,0.5,1.529e-21,1.989e-21,1.511564
5,1.4,200,1,1.529e-21,1.522e-21,1.405977
5,1.4,200,2,1.529e-21,1.520e-21,1.573643
5,1.4,200,5,1.529e-21,1.528e-21,0.011454
5,1.4,200,10,1.529e-21,1.529e-21,0.000150
1000,1000,3000,0.5,3.155e-20,4.135e-20,1.450730
1000,1000,3000,1,3.155e-20,3.154e-20,0.138338
1000,1000,3000,2,3.155e-20,3.154e-20,0.006011
1000,1000,3000,5,3.155e-20,3.155e-20,0.000037
1000,1000,3000,10,3.155e-20,3.155e-20,0.000000
