r,R,Ricci^2,Kretschmann,Weyl^2,BelRobinson
0.10,-1.440838e-1,1.033953e-1,9.210150e-8,2.028283e-1,1.576935e4
0.20,-4.963775e-1,1.708532e-1,1.123409e-3,7.821958e-1,6.622029e1
0.30,9.186933e0,-2.125197e2,5.067784e-1,-4.273927e2,1.283511e4
0.40,3.417302e3,9.577406e6,4.386247e6,1.785117e7,2.580579e7
0.50,-2.753869e2,9.370222e4,5.184429e3,1.829459e5,8.215658e4
0.60,-2.969895e1,1.144687e3,1.949275e1,2.355352e3,1.835657e3
0.70,-8.402312e0,9.579794e1,2.411289e0,2.193206e2,1.928915e2
0.80,-3.218687e0,1.615003e1,1.385574e0,4.195638e1,3.336549e1
0.90,-1.491017e0,4.453823e0,1.292452e0,1.258964e1,8.239670e0
1.00,-8.116625e-1,1.762226e0,1.324262e0,5.131718e0,2.928388e0
1.10,-5.086818e-1,8.720998e-1,1.358127e0,2.570505e0,1.441965e0
1.20,-3.567582e-1,4.891309e-1,1.367038e0,1.483618e0,8.989756e-1
1.30,-2.712399e-1,2.939564e-1,1.348415e0,9.475646e-1,6.572970e-1
1.40,-2.175365e-1,1.834927e-1,1.307053e0,6.519899e-1,5.297262e-1
1.50,-1.804815e-1,1.166944e-1,1.249382e0,4.743317e-1,4.495308e-1
1.60,-1.529733e-1,7.451773e-2,1.181360e0,3.599896e-1,3.910744e-1
1.70,-1.314572e-1,4.711099e-2,1.107810e0,2.822504e-1,3.441754e-1
1.80,-1.140231e-1,2.896273e-2,1.032365e0,2.270112e-1,3.045808e-1
1.90,-9.956214e-2,1.680671e-2,9.575922e-1,1.863303e-1,2.703391e-1
2.00,-8.737976e-2,8.620568e-3,8.852307e-1,1.554840e-1,2.404188e-1
2.10,-7.700805e-2,3.110449e-3,8.163724e-1,1.315251e-1,2.141667e-1
2.20,-6.811070e-2,-5.730684e-4,7.516461e-1,1.125382e-1,1.911009e-1
2.30,-6.043510e-2,-2.998694e-3,6.913436e-1,9.723398e-2,1.708251e-1
2.40,-5.378356e-2,-4.553342e-3,6.355321e-1,8.471772e-2,1.529979e-1
2.50,-4.799747e-2,-5.503515e-3,5.841294e-1,7.435252e-2,1.373190e-1
2.60,-4.294719e-2,-6.034207e-3,5.369503e-1,6.567412e-2,1.235216e-1
2.70,-3.852595e-2,-6.275154e-3,4.937570e-1,5.833777e-2,1.113701e-1
2.80,-3.464418e-2,-6.317880e-3,4.542850e-1,5.208290e-2,1.006580e-1
2.90,-3.122692e-2,-6.226656e-3,4.182508e-1,4.670935e-2,9.120215e-2
3.00,-2.821076e-2,-6.047357e-3,3.853794e-1,4.206138e-2,8.284400e-2
3.10,-2.554177e-2,-5.812329e-3,3.554028e-1,3.801636e-2,7.544495e-2
3.20,-2.317470e-2,-5.544178e-3,3.280620e-1,3.447643e-2,6.888277e-2
3.30,-2.107035e-2,-5.259111e-3,3.031221e-1,3.136291e-2,6.305309e-2
3.40,-1.919469e-2,-4.968220e-3,2.803622e-1,2.861185e-2,5.786504e-2
3.50,-1.751974e-2,-4.679253e-3,2.595807e-1,2.617081e-2,5.323882e-2
3.60,-1.602045e-2,-4.397165e-3,2.405898e-1,2.399646e-2,4.910519e-2
3.70,-1.467607e-2,-4.125544e-3,2.232247e-1,2.205277e-2,4.540461e-2
3.80,-1.346771e-2,-3.866194e-3,2.073294e-1,2.030955e-2,4.208455e-2
3.90,-1.237939e-2,-3.620471e-3,1.927692e-1,1.874134e-2,3.910051e-2
4.00,-1.139759e-2,-3.388943e-3,1.794206e-1,1.732661e-2,3.641308e-2
4.10,-1.050997e-2,-3.171450e-3,1.671676e-1,1.604689e-2,3.398717e-2
4.20,-9.706277e-3,-2.967678e-3,1.559078e-1,1.488643e-2,3.179215e-2
4.30,-8.977084e-3,-2.777480e-3,1.455552e-1,1.383171e-2,2.980348e-2
