r,v_kepler,v_improved,v_potential
0.05,4.472136,0.230977,0.001000
0.10,3.162278,0.111879,0.001000
0.15,2.581989,0.032377,0.001000
0.20,2.236068,0.013234,0.001000
0.25,2.000000,0.006582,0.001000
0.30,1.825742,0.003734,0.001000
0.35,1.690309,0.002337,0.001000
0.40,1.581139,0.001583,0.001000
0.45,1.490712,0.001147,0.001000
0.50,1.414214,0.000879,0.000990
0.55,1.348400,0.000709,0.000944
0.60,1.290994,0.000596,0.000904
0.65,1.240347,0.000519,0.000868
0.70,1.195229,0.000466,0.000837
0.75,1.154701,0.000428,0.000808
0.80,1.118034,0.000401,0.000783
0.85,1.084652,0.000381,0.000759
0.90,1.054093,0.000366,0.000738
0.95,1.025978,0.000355,0.000718
1.00,1.000000,0.000289,0.000700
1.05,0.975900,0.000291,0.000684
1.10,0.953463,0.000292,0.000670
1.15,0.932505,0.000293,0.000658
1.20,0.912871,0.000294,0.000648
1.25,0.894427,0.000295,0.000639
1.30,0.877058,0.000296,0.000631
1.35,0.860663,0.000297,0.000624
1.40,0.845154,0.000297,0.000619
1.45,0.830455,0.000297,0.000614
1.50,0.816497,0.000298,0.000609
1.55,0.803219,0.000298,0.000605
1.60,0.790569,0.000298,0.000602
1.65,0.778499,0.000299,0.000598
1.70,0.766965,0.000299,0.000596
1.75,0.755929,0.000299,0.000593
1.80,0.745356,0.000299,0.000591
1.85,0.735215,0.000299,0.000589
1.90,0.725476,0.000299,0.000587
1.95,0.716115,0.000299,0.000586
2.00,0.707107,0.000299,0.000585
2.05,0.698430,0.000299,0.000583
2.10,0.690066,0.000299,0.000582
2.15,0.681994,0.000300,0.000581
2.20,0.674200,0.000300,0.000581
2.25,0.666667,0.000300,0.000580
2.30,0.659380,0.000300,0.000579
2.35,0.652328,0.000300,0.000579
2.40,0.645497,0.000300,0.000578
2.45,0.638877,0.000300,0.000578
2.50,0.632456,0.000300,0.000577
2.55,0.626224,0.000300,0.000577
2.60,0.620174,0.000300,0.000577
2.65,0.614295,0.000300,0.000577
2.70,0.608581,0.000300,0.000577
2.75,0.603023,0.000300,0.000577
2.80,0.597614,0.000300,0.000576
2.85,0.592349,0.000300,0.000576
2.90,0.587220,0.000300,0.000576
2.95,0.582223,0.000300,0.000576
3.00,0.577350,0.000300,0.000577
3.05,0.572598,0.000299,0.000577
3.10,0.567962,0.000298,0.000577
3.15,0.563436,0.000298,0.000577
3.20,0.559017,0.000297,0.000577
3.25,0.554700,0.000296,0.000577
3.30,0.550482,0.000296,0.000577
3.35,0.546358,0.000295,0.000577
3.40,0.542326,0.000294,0.000578
3.45,0.538382,0.000294,0.000578
3.50,0.534522,0.000293,0.000578
3.55,0.530745,0.000292,0.000578
3.60,0.527046,0.000292,0.000578
3.65,0.523424,0.000291,0.000579
3.70,0.519875,0.000291,0.000579
3.75,0.516398,0.000290,0.000579
3.80,0.512989,0.000290,0.000579
3.85,0.509647,0.000289,0.000580
3.90,0.506370,0.000288,0.000580
3.95,0.503155,0.000288,0.000580
4.00,0.500000,0.000287,0.000581
4.05,0.496904,0.000287,0.000581
4.10,0.493865,0.000286,0.000581
4.15,0.490881,0.000286,0.000581
4.20,0.487950,0.000285,0.000582
4.25,0.485071,0.000285,0.000582
4.30,0.482243,0.000284,0.000582
4.35,0.479463,0.000284,0.000583
4.40,0.476731,0.000283,0.000583
4.45,0.474045,0.000283,0.000583
4.50,0.471405,0.000282,0.000583
4.55,0.468807,0.000282,0.000584
4.60,0.466252,0.000281,0.000584
4.65,0.463739,0.000281,0.000584
4.70,0.461266,0.000280,0.000585
4.75,0.458831,0.000280,0.000585
4.80,0.456435,0.000280,0.000585
4.85,0.454077,0.000279,0.000586
4.90,0.451754,0.000279,0.000586
4.95,0.449467,0.000278,0.000586
5.00,0.447214,0.000278,0.000586
5.05,0.444994,0.000277,0.000587
5.10,0.442807,0.000277,0.000587
5.15,0.440653,0.000277,0.000587
5.20,0.438529,0.000276,0.000588
5.25,0.436436,0.000276,0.000588
5.30,0.434372,0.000275,0.000588
5.35,0.432338,0.000275,0.000588
5.40,0.430331,0.000275,0.000589
5.45,0.428353,0.000274,0.000589
5.50,0.426401,0.000274,0.000589
5.55,0.424476,0.000274,0.000590
5.60,0.422577,0.000273,0.000590
5.65,0.420703,0.000273,0.000590
5.70,0.418854,0.000272,0.000591
5.75,0.417029,0.000272,0.000591
5.80,0.415227,0.000272,0.000591
5.85,0.413449,0.000271,0.000591
5.90,0.411693,0.000271,0.000592
5.95,0.409960,0.000271,0.000592
6.00,0.408248,0.000270,0.000592
6.05,0.406558,0.000270,0.000592
6.10,0.404888,0.000270,0.000593
6.15,0.403239,0.000269,0.000593
6.20,0.401610,0.000269,0.000593
6.25,0.400000,0.000269,0.000594
6.30,0.398410,0.000268,0.000594
6.35,0.396838,0.000268,0.000594
6.40,0.395285,0.000268,0.000594
6.45,0.393750,0.000267,0.000595
6.50,0.392232,0.000267,0.000595
6.55,0.390732,0.000267,0.000595
6.60,0.389249,0.000267,0.000595
6.65,0.387783,0.000266,0.000596
6.70,0.386334,0.000266,0.000596
6.75,0.384900,0.000266,0.000596
6.80,0.383482,0.000265,0.000596
6.85,0.382080,0.000265,0.000597
6.90,0.380693,0.000265,0.000597
6.95,0.379322,0.000264,0.000597
7.00,0.377964,0.000264,0.000597
7.05,0.376622,0.000264,0.000598
7.10,0.375293,0.000264,0.000598
7.15,0.373979,0.000263,0.000598
7.20,0.372678,0.000263,0.000598
7.25,0.371391,0.000263,0.000599
7.30,0.370117,0.000263,0.000599
7.35,0.368856,0.000262,0.000599
7.40,0.367607,0.000262,0.000599
7.45,0.366372,0.000262,0.000600
7.50,0.365148,0.000261,0.000600
7.55,0.363937,0.000261,0.000600
7.60,0.362738,0.000261,0.000600
7.65,0.361551,0.000261,0.000600
7.70,0.360375,0.000260,0.000601
7.75,0.359211,0.000260,0.000601
7.80,0.358057,0.000260,0.000601
7.85,0.356915,0.000260,0.000601
7.90,0.355784,0.000259,0.000602
7.95,0.354663,0.000259,0.000602
8.00,0.353553,0.000259,0.000602
8.05,0.352454,0.000259,0.000602
8.10,0.351364,0.000258,0.000602
8.15,0.350285,0.000258,0.000603
8.20,0.349215,0.000258,0.000603
8.25,0.348155,0.000258,0.000603
8.30,0.347105,0.000258,0.000603
8.35,0.346064,0.000257,0.000604
8.40,0.345033,0.000257,0.000604
8.45,0.344010,0.000257,0.000604
8.50,0.342997,0.000257,0.000604
8.55,0.341993,0.000256,0.000604
8.60,0.340997,0.000256,0.000605
8.65,0.340010,0.000256,0.000605
8.70,0.339032,0.000256,0.000605
8.75,0.338062,0.000255,0.000605
8.80,0.337100,0.000255,0.000605
8.85,0.336146,0.000255,0.000606
8.90,0.335201,0.000255,0.000606
8.95,0.334263,0.000255,0.000606
9.00,0.333333,0.000254,0.000606
9.05,0.332411,0.000254,0.000606
9.10,0.331497,0.000254,0.000606
9.15,0.330590,0.000254,0.000607
9.20,0.329690,0.000254,0.000607
9.25,0.328798,0.000253,0.000607
9.30,0.327913,0.000253,0.000607
9.35,0.327035,0.000253,0.000607
9.40,0.326164,0.000253,0.000608
9.45,0.325300,0.000253,0.000608
9.50,0.324443,0.000252,0.000608
9.55,0.323592,0.000252,0.000608
9.60,0.322749,0.000252,0.000608
9.65,0.321911,0.000252,0.000608
9.70,0.321081,0.000252,0.000609
9.75,0.320256,0.000251,0.000609
9.80,0.319438,0.000251,0.000609
9.85,0.318626,0.000251,0.000609
9.90,0.317821,0.000251,0.000609
9.95,0.317021,0.000251,0.000610
